segundos,temp,hum,press,ohm
312,22.07,72.15,1010.21,15093.89
313,22.06,72.02,1010.25,15173.43
314,22.06,71.93,1010.19,15153.49
315,22.04,71.89,1010.19,15395.25
316,22.02,71.89,1010.19,15213.42
317,22.04,71.84,1010.22,15314.06
318,22.05,71.84,1010.21,15253.56
319,22.04,71.8,1010.21,15093.89
320,22.04,71.79,1010.23,15213.42
321,22.03,71.81,1010.21,14975.68
322,22.03,72.21,1010.22,14858.77
323,22.04,72.7,1010.24,14878.16
324,22.05,72.62,1010.25,14975.68
325,22.02,72.3,1010.22,15074.09
326,22.03,72.12,1010.24,14781.54
327,22.02,71.99,1010.22,15074.09
328,22.01,71.9,1010.19,15014.94
329,22.02,71.87,1010.23,15054.34
330,22.01,71.86,1010.21,15014.94
331,22,71.87,1010.24,15233.47
332,22.01,71.92,1010.23,15213.42
333,22,71.94,1010.24,15173.43
334,22.01,72,1010.27,15133.58
335,22.02,72.05,1010.27,15014.94
336,22,72.03,1010.24,15374.89
337,21.99,72,1010.2,15314.06
338,21.99,71.96,1010.18,15014.94
339,22,71.97,1010.2,15334.3
340,21.99,71.93,1010.22,15093.89
341,22,71.91,1010.23,15113.72
342,21.98,71.91,1010.23,15093.89
343,21.97,71.94,1010.21,15014.94
344,21.97,71.91,1010.21,15014.94
345,21.99,71.89,1010.23,15233.47
346,21.98,71.95,1010.21,15253.56
347,21.99,72.19,1010.22,15395.25
348,21.99,72.3,1010.25,15173.43
349,21.97,72.31,1010.22,15093.89
350,21.98,72.43,1010.21,15054.34
351,21.98,72.48,1010.22,15074.09
352,21.99,72.6,1010.21,15354.58
353,21.98,72.8,1010.24,15093.89
354,22,72.85,1010.28,15173.43
355,21.98,72.72,1010.22,15374.89
356,21.98,72.63,1010.22,15173.43
357,21.99,72.54,1010.23,15133.58
358,21.99,72.49,1010.26,15334.3
359,21.99,72.45,1010.26,15173.43
360,21.99,72.4,1010.26,15334.3
361,21.98,72.38,1010.23,15334.3
